name,category,subsidiary of / alias of,stakeholdergroup,nationality,email domain names,Membership Organization,Wiki Page
University of Washington,Research Institution,,Academia,United States,"washington.edu, cs.washington.edu",,
University of Wisconsin,Research Institution,,Academia,United States,doit.wisc.edu,,
US Bank,Financial Institution,,Business,United States,usbank.com,,
US Cellular Corporation,Telecommunications Provider,,Business,United States,,ETSI,
US National Aeronautics and Space Administration,Space Agency,,Government,United States,cyber.nsa.gov,ATIS,
US National Security Agency,Cybersecurity,,Government,United States,"nsa.gov , tycho.ncsc.mil , restarea.ncsc.mil, cyber.nsa.gov",ATIS,
Valeo Radar Systems Inc. (VRS),Hardware Provider,Valeo,Business,United States,,ETSI,
Verisign,Internet Registry,,Business,United States,"verisignlabs.com , verisign.com",,
Verizon,Internet Registry,,Business,United States,"verizonwireless.com, verizon.com, verizon.net",,
VMware,Software Provider,,Business,United States,vmware.com,,
Western Digital Technologies  Inc.,Consumer hardware and software vendor,,Business,United States,,ETSI,
Xcape  Inc.,Consulting,,Business,United States,,ATIS,
Xerox,Software Provider,,Business,United States,cp10.es.xerox.com,,
Yaana,Software Provider,,Business,United States,yaanatech.com,,
3GPP,Standards Body,,Technical Community,,3gpp.org,,
APNIC,Internet Registry,,Technical Community,,apnic.net,,
IANA,Internet Registry,,Technical Community,,iana.org,,
ICANN,Internet Governance Body,,Technical Community,,icann.org,,
Internet Society,Internet Governance Body,,Civil Society,,isoc.org,,
Internet Systems Consortium,,,,,isc.org,,
ISC,Internet Registry,,Business,,,,
LACNIC,Internet Registry,,Technical Community,,lacnic.net,,
RIPE NCC,Internet Registry,,Technical Community,,ripe.net,,
World Wide Web Consortium (W3C),Internet Governance Body,,Technical Community,,w3.org,,
Centre for Development of Telematics,Technology research and development company,,Government,India,cdot.in,,
D2 Mannesmann,Telecommunications Provider,Vodafone Group Plc,Business,Germany,d2mannesmann.de,,
Iskra,Telecommunications Provider,,Business,Slovenia,iskratel.si,,
Polizia di Stato,,,Government,Italy,poliziadistato.it,,
BAE Systems,Cybersecurity,,Business,United Kingdom,baesystems.com,,
Sprint Corporation,Telecommunications Provider,T-Mobile USA  Inc.,Business,United States,sprint.com,,
Informatik Service Center ISC-EJPD,,,Government,Switzerland,isc-ejpd.admin.ch,,
XS4ALL,Networking Service Provider,Koninklijke KPN N.V.,Business,Netherlands,xs4all.nl,,
FRA,,,Government,Sweden,fra.se,,
,Networking equipment vendor,Ericsson,Business,United States,am1.ericsson.se,,
UK Home Office,,,Government,United Kingdom,homeoffice.gsi.gov.uk,,
O2 UK,Telecommunications Provider,,Business,United Kingdom,o2.com,,
Het Net ,Networking Service Provider,,Business,Netherlands,hetnet.nl,,
Yaana,,,Business,India,yaana.com,,
Three,Telecommunications Provider,Hutchison 3G Enterprises S.A.R.L.,Business,,hutchison3g.com,,
SMTP Inc.,,,Business,Canada,smtp.gc.ca,,
Netmagic Solutions,Telecommunications Provider,NTT Communications,,Japan,netmagic.com,,
Eastern Caribbean Telecommunications Authority,Regulatory Body,,Government,Dominica,ectel.com,,
IEEE,,,,,ieee.org,,
